,Year,Month,Extent_avg
362,2008,12,12.358483870967742
363,2009,01,13.913709677419357
364,2009,02,14.811535714285716
365,2009,03,14.983612903225806
366,2009,04,14.495633333333336
367,2009,05,13.186709677419351
368,2009,06,11.320266666666665
369,2009,07,8.465451612903225
370,2009,08,6.135741935483873
371,2009,09,5.261633333333332
372,2009,10,6.920322580645161
373,2009,11,9.771733333333334
374,2009,12,12.199870967741933
375,2010,01,13.73906451612903
376,2010,02,14.58142857142857
377,2010,03,15.136709677419352
378,2010,04,14.658733333333338
379,2010,05,12.866096774193545
380,2010,06,10.5851
381,2010,07,8.074677419354838
382,2010,08,5.8749032258064515
383,2010,09,4.865066666666667
384,2010,10,6.983903225806451
385,2010,11,9.613966666666668
386,2010,12,11.83083870967742
387,2011,01,13.463967741935484
388,2011,02,14.363035714285713
389,2011,03,14.546516129032263
390,2011,04,14.1078
391,2011,05,12.680774193548393
392,2011,06,10.748666666666667
393,2011,07,7.724387096774194
394,2011,08,5.502451612903226
395,2011,09,4.561333333333333
396,2011,10,6.464548387096774
397,2011,11,9.7718
398,2011,12,12.153580645161291
399,2012,01,13.729419354838706
400,2012,02,14.55334482758621
401,2012,03,15.19625806451613
402,2012,04,14.625766666666665
403,2012,05,13.011806451612902
404,2012,06,10.674533333333335
405,2012,07,7.671774193548385
406,2012,08,4.723290322580647
407,2012,09,3.5656000000000003
408,2012,10,5.885870967741937
409,2012,11,9.387966666666665
410,2012,12,12.00638709677419
411,2013,01,13.702645161290324
412,2013,02,14.723535714285717
413,2013,03,15.032032258064515
414,2013,04,14.298733333333333
415,2013,05,12.997258064516132
416,2013,06,11.36013333333333
417,2013,07,8.13167741935484
418,2013,08,6.013516129032259
419,2013,09,5.208266666666665
420,2013,10,7.454838709677419
421,2013,11,9.939033333333333
422,2013,12,12.18425806451613
423,2014,01,13.647483870967742
424,2014,02,14.417571428571426
425,2014,03,14.757516129032258
426,2014,04,14.087866666666669
427,2014,05,12.700709677419352
428,2014,06,11.0326
429,2014,07,8.108451612903226
430,2014,08,6.077870967741935
431,2014,09,5.219933333333333
432,2014,10,7.232451612903224
433,2014,11,10.1146
434,2014,12,12.352580645161291
